code1,code2,clone_label
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.19
def greet(): print('Hello'),def greet(): print('Hi'),0.86
"a = 5
b = 10
print(a + b)","def square(n): return pow(n, 2)",0.23
print('Hello'),if b < a: print(b),0.24
for i in range(10): print(i),"def product(x, y): return x * y",0.09
"def add(a, b): return a + b",for i in range(100): continue,0.16
for i in range(10): print(i),for i in range(100): continue,0.04
print('Hello'),print('World'),0.0
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.95
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.92
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",0.99
if a > b: print(a),print('World'),0.22
for i in range(10): print(i),if b < a: print(b),0.39
def greet(): print('Hello'),def greet(): print('Hi'),0.86
if a > b: print(a),if b < a: print(b),0.48
def square(n): return n * n,"x = 5
y = 10
print(x + y)",0.29
for i in range(10): print(i),"i = 0
while i < 10:
    print(i)
    i += 1",0.72
if a > b: print(a),"x = 5
y = 10
print(x + y)",0.14
while True: pass,for i in range(100): continue,0.2
"def divide(a, b): return a / b","i = 0
while i < 10:
    print(i)
    i += 1",0.21
def greet(): print('Hello'),def greet(): print('Hi'),0.75
def greet(): print('Hello'),def greet(): print('Hi'),0.83
def square(n): return n * n,"def divide(x, y): return x / y",0.38
while True: pass,for i in range(100): continue,0.22
